Date,Week,Tm,Home/Away,Opp,Result,GS,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Int,Passing Rate,Passing Sk,Passing Yds,Passing Y/A,Passing AY/A,Rush,Rushing Yds,Rushing Y/A,Rushing TD,Fumble Balls,Fumbles Lost,Fumbles Recovered
9/12/2021,1,CIN,,MIN,W 27-24,*,20,27,74.07,261,2,0,128.8,5,44,9.67,11.15,1,2,2,0,0,0,0
9/19/2021,2,CIN,@,CHI,L 17-20,*,19,30,63.33,207,2,3,66.2,5,28,6.9,3.73,0,0,,0,0,0,0
9/26/2021,3,CIN,@,PIT,W 24-10,*,14,18,77.78,172,3,1,122.9,0,0,9.56,10.39,5,7,1.4,0,0,0,0
9/30/2021,4,CIN,,JAX,W 24-21,*,25,32,78.13,348,2,0,132.8,1,6,10.88,12.13,3,4,1.33,0,0,0,0
10/10/2021,5,CIN,,GNB,L 22-25,*,26,38,68.42,281,2,2,85.5,3,17,7.39,6.08,3,11,3.67,0,0,0,0
10/17/2021,6,CIN,@,DET,W 34-11,*,19,29,65.52,271,3,1,115.7,2,22,9.34,9.86,5,20,4,0,0,0,0
10/24/2021,7,CIN,@,BAL,W 41-17,*,23,38,60.53,416,3,1,113.5,1,7,10.95,11.34,1,0,0,0,0,0,0
10/31/2021,8,CIN,@,NYJ,L 31-34,*,21,34,61.76,259,3,1,102.5,3,28,7.62,8.06,1,-1,-1,0,1,0,0
11/7/2021,9,CIN,,CLE,L 16-41,*,28,40,70,282,0,2,69,5,25,7.05,4.8,2,1,0.5,0,1,0,0
11/21/2021,11,CIN,@,LVR,W 32-13,*,20,29,68.97,148,1,0,92.3,3,19,5.1,5.79,3,11,3.67,0,1,1,0
11/28/2021,12,CIN,,PIT,W 41-10,*,20,24,83.33,190,1,1,96.2,2,18,7.92,6.88,1,8,8,1,0,0,0
12/5/2021,13,CIN,,LAC,L 22-41,*,24,40,60,300,1,2,70.8,6,40,7.5,5.75,1,6,6,1,1,1,0
12/12/2021,14,CIN,,SFO,L 23-26,*,25,34,73.53,348,2,0,125.6,5,37,10.24,11.41,2,3,1.5,0,1,0,1
12/19/2021,15,CIN,@,DEN,W 15-10,*,15,22,68.18,157,1,0,103.8,3,21,7.14,8.05,5,25,5,0,0,0,0
12/26/2021,16,CIN,,BAL,W 41-21,*,37,46,80.43,525,4,0,143.2,3,27,11.41,13.15,2,11,5.5,0,0,0,0
1/2/2022,17,CIN,,KAN,W 34-31,*,30,39,76.92,446,4,0,148,4,31,11.44,13.49,5,10,2,0,0,0,0
1/15/2022,19,CIN,,LVR,W 26-19,*,24,34,70.59,244,2,0,110.4,2,19,7.18,8.35,2,-2,-1,0,0,0,0
1/22/2022,20,CIN,@,TEN,W 19-16,*,28,37,75.68,348,0,1,93.1,9,68,9.41,8.19,2,5,2.5,0,0,0,0
