instanceid,date,dayofweek,hour,weather,address_x,latitude_x,longitude_x
0001369F-C0DB-43DC-BC0C-66342E82ACB4,2021-08-20,FRI,15,1 - CLEAR,49XX GLENWAY AV,39.119994,-84.599977
00024860-02CC-4375-9171-B13CE9EF3825,2021-08-21,SAT,13,1 - CLEAR,XX W MCMILLAN ST,39.128331,-84.513601
00038D6F-82A9-43AC-A9F8-40A054254427,2021-04-02,FRI,13,1 - CLEAR,13XX HOPPLE ST,39.137781,-84.537388000000007
0005B4D7-FA5B-4EC0-9940-AE152096968E,2021-12-10,FRI,21,4 - RAIN,1XX W MITCHELL AV,39.165373,-84.511402
00076D89-E218-4DCF-A98B-6993154627C5,2021-02-02,TUE,9,1 - CLEAR,28XX HIGHLAND AV,39.132163,-84.502325
0010F4EE-45AF-4949-BFF9-7F91C93B2F8E,2021-09-14,TUE,17,1 - CLEAR,14XX MAIN ST,39.111948,-84.513085
00116143-A986-416A-A691-11A840D6B872,2021-05-24,MON,13,1 - CLEAR,47XX RAPID RUN RD,39.111018,-84.598121
0011990C-3B5E-4625-917B-EF388167D6D4,2021-08-29,FRI,19,1 - CLEAR,13XX SYCAMORE ST,39.110275,-84.510171
00184615-43B9-479D-86F8-68FA18FCE5AE,2021-01-01,FRI,20,4 - RAIN,12XX DROTT AV,39.115481,-84.569225
00204EA9-BCDF-4D11-94D6-6B0300C20432,2021-05-18,TUE,18,1 - CLEAR,1XX E 5TH ST,39.100566,-84.510022
0029FAAB-FB25-4BD6-A732-285F3027321F,2021-12-15,WED,14,1 - CLEAR,33XX MEYERS PL,39.147271,-84.591001
002A1244-7D5C-456E-ADDB-0AAE8086A19F,2021-11-07,SUN,19,1 - CLEAR,58XX CENTER HILL AV,39.192801,-84.500718
002C25F1-63BF-4F5D-B2C7-DCCC3F8582B1,2021-06-28,MON,9,1 - CLEAR,7XX GHOLSON AV,39.149698,-84.490388
0034390B-1931-4E90-ACBB-D07B96680DD7,2021-02-24,WED,23,1 - CLEAR,10XX LUDLOW AV,39.153716,-84.537482
00391E95-4224-49DC-AC4E-F081AD3CB68C,2021-12-14,TUE,11,1 - CLEAR,33XX ALAMO AV,39.160416,-84.422263
0042B0F4-F39A-4E91-8A51-8D30BEF174CA,2021-04-27,TUE,12,1 - CLEAR,29XX GILBERT AV,39.133731,-84.487351
0042CC3D-6EA0-43DF-9BCC-A48A45FF7CA2,2021-04-22,THU,13,2 - CLOUDY,S I75 AT 4-4 MM,39.148349,-84.539551
004781C7-3891-4C5C-B749-486536A9D689,2021-12-16,THU,16,1 - CLEAR,36XX MARBURG AV,39.143031,-84.421461
0047BB40-AD78-4E97-ADE7-7FA9B5658B4B,2021-08-26,THU,17,4 - RAIN,15XX SECTION AV,39.197745,-84.463563
0053D0A1-B8DB-4B06-A3FD-74475220943D,2021-03-09,TUE,18,1 - CLEAR,S I75 AT 1-9 MM,39.121918,-84.534461
0053E62A-3E9E-4EEC-9BCD-F70CB4E71E24,2021-05-11,TUE,7,1 - CLEAR,S I75 AT 6-6 MM,39.164566,-84.508012
0055074A-1189-48F2-97A9-939B762CAB91,2021-03-22,MON,20,1 - CLEAR,S I75 AT 8.9 MM,39.191646,-84.480696
005A2EAF-1B6F-4E12-A5C2-FB4CDF05A43E,2021-05-21,FRI,21,1 - CLEAR,60XX GLENWAY AV,39.141841,-84.618151
00624524-1147-42A9-BAAF-8183479F054D,2021-05-27,THU,10,1 - CLEAR,54XX WINNESTE AV,39.102279,-84.512016
