date,n
2021-01-01,63
2021-01-02,45
2021-01-03,53
2021-01-04,64
2021-01-05,63
2021-01-06,39
2021-01-07,36
2021-01-08,70
2021-01-09,55
2021-01-10,55
2021-01-11,75
2021-01-12,60
2021-01-13,47
2021-01-14,73
2021-01-15,78
2021-01-16,94
2021-01-17,53
2021-01-18,68
2021-01-19,62
2021-01-20,42
2021-01-21,82
2021-01-22,71
2021-01-23,69
2021-01-24,70
2021-01-25,76
2021-01-26,60
2021-01-27,89
2021-01-28,188
2021-01-29,89
2021-01-30,80
2021-01-31,58
2021-02-01,65
2021-02-02,105
2021-02-03,83
2021-02-04,65
2021-02-05,66
2021-02-06,59
2021-02-07,40
2021-02-08,76
2021-02-09,66
2021-02-10,61
2021-02-11,78
2021-02-12,67
2021-02-13,63
2021-02-14,53
2021-02-15,61
2021-02-16,63
2021-02-17,70
2021-02-18,59
2021-02-19,76
2021-02-20,74
2021-02-21,59
2021-02-22,47
2021-02-23,84
2021-02-24,75
2021-02-25,65
2021-02-26,73
2021-02-27,59
2021-02-28,73
2021-03-01,63
2021-03-02,63
2021-03-03,76
2021-03-04,61
2021-03-05,73
2021-03-06,61
2021-03-07,61
2021-03-08,59
2021-03-09,60
2021-03-10,62
2021-03-11,83
2021-03-12,71
2021-03-13,63
2021-03-14,54
2021-03-15,57
2021-03-16,52
2021-03-17,82
2021-03-18,85
2021-03-19,95
2021-03-20,83
2021-03-21,53
2021-03-22,85
2021-03-23,68
2021-03-24,67
2021-03-25,82
2021-03-26,82
2021-03-27,82
2021-03-28,77
2021-03-29,62
2021-03-30,90
2021-03-31,89
2021-04-01,103
2021-04-02,104
2021-04-03,68
2021-04-04,67
2021-04-05,71
2021-04-06,99
2021-04-07,88
2021-04-08,103
2021-04-09,86
2021-04-10,93
2021-04-11,62
2021-04-12,71
2021-04-13,69
2021-04-14,78
2021-04-15,60
2021-04-16,101
2021-04-17,86
2021-04-18,72
2021-04-19,92
2021-04-20,112
2021-04-21,57
2021-04-22,67
2021-04-23,84
2021-04-24,76
2021-04-25,53
2021-04-26,71
2021-04-27,97
2021-04-28,71
2021-04-29,117
2021-04-30,124
2021-05-01,86
2021-05-02,64
2021-05-03,78
2021-05-04,80
2021-05-05,82
2021-05-06,87
2021-05-07,116
2021-05-08,90
2021-05-09,61
2021-05-10,73
2021-05-11,59
2021-05-12,86
2021-05-13,81
2021-05-14,98
2021-05-15,69
2021-05-16,48
2021-05-17,71
2021-05-18,97
2021-05-19,94
2021-05-20,76
2021-05-21,101
2021-05-22,83
2021-05-23,54
2021-05-24,79
2021-05-25,87
2021-05-26,129
2021-05-27,106
2021-05-28,101
2021-05-29,53
2021-05-30,72
2021-05-31,49
2021-06-01,60
2021-06-02,159
2021-06-03,121
2021-06-04,113
2021-06-05,79
2021-06-06,72
2021-06-07,100
2021-06-08,96
2021-06-09,107
2021-06-10,93
2021-06-11,129
2021-06-12,85
2021-06-13,83
2021-06-14,74
2021-06-15,102
2021-06-16,80
2021-06-17,89
2021-06-18,101
2021-06-19,87
2021-06-20,64
2021-06-21,88
2021-06-22,100
2021-06-23,83
2021-06-24,84
2021-06-25,88
2021-06-26,82
2021-06-27,72
2021-06-28,103
2021-06-29,79
2021-06-30,88
2021-07-01,129
2021-07-02,120
2021-07-03,89
2021-07-04,60
2021-07-05,69
2021-07-06,85
2021-07-07,98
2021-07-08,74
2021-07-09,70
2021-07-10,80
2021-07-11,72
2021-07-12,79
2021-07-13,81
2021-07-14,77
2021-07-15,79
2021-07-16,85
2021-07-17,88
2021-07-18,88
2021-07-19,78
2021-07-20,77
2021-07-21,70
2021-07-22,93
2021-07-23,104
2021-07-24,72
2021-07-25,56
2021-07-26,72
2021-07-27,88
2021-07-28,63
2021-07-29,84
2021-07-30,84
2021-07-31,47
2021-08-01,86
2021-08-02,67
2021-08-03,67
2021-08-04,72
2021-08-05,97
2021-08-06,110
2021-08-07,70
2021-08-08,57
2021-08-09,96
2021-08-10,77
2021-08-11,61
2021-08-12,76
2021-08-13,89
2021-08-14,62
2021-08-15,60
2021-08-16,91
2021-08-17,113
2021-08-18,82
2021-08-19,110
2021-08-20,126
2021-08-21,90
2021-08-22,67
2021-08-23,102
2021-08-24,120
2021-08-25,86
2021-08-26,111
2021-08-27,132
2021-08-28,54
2021-08-29,84
2021-08-30,144
2021-08-31,104
2021-09-01,72
2021-09-02,86
2021-09-03,103
2021-09-04,54
2021-09-05,67
2021-09-06,55
2021-09-07,95
2021-09-08,92
2021-09-09,102
2021-09-10,92
2021-09-11,72
2021-09-12,57
2021-09-13,93
2021-09-14,79
2021-09-15,62
2021-09-16,73
2021-09-17,120
2021-09-18,73
2021-09-19,54
2021-09-20,144
2021-09-21,116
2021-09-22,116
2021-09-23,98
2021-09-24,89
2021-09-25,68
2021-09-26,51
2021-09-27,90
2021-09-28,76
2021-09-29,82
2021-09-30,82
2021-10-01,118
2021-10-02,66
2021-10-03,54
2021-10-04,106
2021-10-05,81
2021-10-06,59
2021-10-07,90
2021-10-08,108
2021-10-09,67
2021-10-10,59
2021-10-11,85
2021-10-12,58
2021-10-13,75
2021-10-14,72
2021-10-15,143
2021-10-16,73
2021-10-17,53
2021-10-18,83
2021-10-19,74
2021-10-20,74
2021-10-21,100
2021-10-22,128
2021-10-23,100
2021-10-24,73
2021-10-25,81
2021-10-26,86
2021-10-27,79
2021-10-28,137
2021-10-29,117
2021-10-30,71
2021-10-31,53
2021-11-01,67
2021-11-02,80
2021-11-03,75
2021-11-04,88
2021-11-05,70
2021-11-06,59
2021-11-07,93
2021-11-08,88
2021-11-09,68
2021-11-10,73
2021-11-11,110
2021-11-12,115
2021-11-13,74
2021-11-14,69
2021-11-15,104
2021-11-16,87
2021-11-17,80
2021-11-18,106
2021-11-19,114
2021-11-20,66
2021-11-21,93
2021-11-22,84
2021-11-23,94
2021-11-24,65
2021-11-25,83
2021-11-26,60
2021-11-27,42
2021-11-28,43
2021-11-29,92
2021-11-30,78
2021-12-01,158
2021-12-02,94
2021-12-03,78
2021-12-04,62
2021-12-05,98
2021-12-06,103
2021-12-07,100
2021-12-08,148
2021-12-09,77
2021-12-10,117
2021-12-11,46
2021-12-12,56
2021-12-13,69
2021-12-14,71
2021-12-15,78
2021-12-16,95
2021-12-17,105
2021-12-18,85
2021-12-19,50
2021-12-20,53
2021-12-21,71
2021-12-22,85
2021-12-23,62
2021-12-24,50
2021-12-25,48
2021-12-26,55
2021-12-27,49
2021-12-28,53
2021-12-29,74
2021-12-30,60
2021-12-31,58
