course_title,course_descriptions
ISA 125. Introduction to Business Statistics. (3),"This course provides an introduction to data, probability, sampling and its importance to analytical decision-making in business. Upon successful completion of this course, students will have the foundational skills necessary to summarize data, describe relationships among variables, and conduct one-sample and two-sample statistical inference. Note: Credit for graduation will not be given for more than one of STA 125, ISA 125, STA 261, STA 301, or STA 368.
Prerequisites: MTH 102 or MTH 121 or MTH 125 or MTH 151; ACT Math Score of 22 or higher; SAT Math Score of 540 or higher; or Miami International Math Placement Test score of 8 or higher; or successful completion of MTH 025; or permission of department chair.
Cross-listed with STA.
"
ISA 177. Independent Studies. (0-6),
ISA 203. Supplementary Business Statistics. (1),"Review of elementary statistics. Regression analysis and statistical process control. For students needing additional coursework to complete the topics in ISA 205.
Prerequisite: MTH 151, STA 261 or equivalents.
"
ISA 211. Information Technology and Data Driven Decision Making in Business. (3),"Introduction to the concepts of information systems and analytics used to support organizations for the non-business major. Focus is on the critical information technology and systems impacting the operations of organizations in the digital world. Additionally, how organizations use business analytics to make data-driven decisions will be covered.
"
ISA 225. Principles of Business Analytics. (3),"Provides a continuation of the study of data and its importance to analytical decision-making in business. Topics include: probability and classification, data visualization, two or more population inference, predictive modeling with simple and multiple regression analysis, business forecasting, data-mining. Emphasis on computer implementation, analysis of real data, and communication of results.
Prerequisite: (MTH 141 or MTH 151) and ISA/STA 125.
"
ISA 235. Information Technology and the Intelligent Enterprise. (3) (MPT),"Focuses on the strategic role of information technology and systems. Topics include: Challenges faced by managers in firms, understanding key technologies and how they help meet these challenges, and the processes, policies and procedures needed to manage technical and digital assets.
Prerequisite: CSE 148.
"
ISA 241. Database for Analytics. (1.5),"This course is designed to help students develop knowledge and skills related to collection, manipulation, and management of structured data in databases along with skills to access and data. The course deals with the logical and physical design of databases, entity relationship modeling, and structured language query (SQL).
"
ISA 242. Programming for Analytics. (1.5),"This course is designed to help students develop programming skills to access and process data. The course equips students with programming skills and tools to build and maintain business applications. Emphasis is on the use of structured techniques and using application libraries for data retrieval, logic development, and information presentation.
"
ISA 243. Database and Programming for Analytics. (3),"This course is designed to help students develop skills related to collection, manipulation, and management of structured data in databases along with programming skills to access and process data. The first part of this course deals with the logical and physical design of databases, entity relationship modeling, and structured language query (SQL). The second part of this course equips students with programming skills and tools to build and maintain business applications. Emphasis is on the use of structured techniques and using application libraries for data retrieval, logic development, and information presentation.
"
ISA 245. Database Systems and Data Warehousing. (3) (MPT),"Provides an understanding of the importance of database systems in organizations. The course focuses on database concepts, design methodologies, database management systems, structured query language, implementation of database systems, and data warehousing.
Prerequisite: ISA 235.
"
ISA 250. Basic Math for Analytics. (3),"Provides students with practical and applied foundational mathematics needed as background for success in data-driven decision making. Topics include sets, functions in single and multiple variables including logarithms, exponentials, and trigonometric; matrix algebra operations; introductory calculus concepts; and basic optimization principles necessary for data analysis. Introduction to applied software driven techniques is included in the course.
Prerequisites: MTH 102 or MTH 121 or three years of college preparatory mathematics or permission of department chair.
Co-requisites: STA 261, ISA 225, or STA 301.
Cross-listed with STA.
"
ISA 277. Independent Studies. (0-6),
ISA 281. Concepts in Business Programming. (3),"The course focuses on structuring, designing and developing data driven business applications. Emphasis is on the use of structured, object-oriented techniques, and using application libraries for data retrieval, logic development, and information presentation.
"
ISA 291. Applied Regression Analysis in Business. (3) (MPT),"Multiple regression as related to analysis of business problems. Includes useful regression models, statistical inference (intervals and hypothesis tests) in regression, model building, regression assumptions, remedies for violations of assumptions, applications in experimental design, and time series analysis.
Prerequisite: ISA 225 with a grade of C or better or ISA 205.
"
ISA 301. Business Data Communications and Security. (3),"Introduces theory, concepts and applications of data communications technologies in a today’s business environment. It includes and introduction to personal, local and wide area network architectures as well as wired, wireless, and mobile technology standards employed in those architectures. The course also introduces the business issues related to network and data security and covers methodologies and technologies commonly employed to protect corporate data assets. Finally, the course explores emerging standards and other related management considerations such as cloud computing.
Prerequisite: ISA 235.
"
ISA 303. Enterprise Systems. (3) (MPT),"An introduction to enterprise systems such as enterprise resource planning (ERP), Supply Chain and customer relationship management (CRM) systems. Both managerial and technological considerations in the implementation and use of these systems within businesses will be explored in depth.
Prerequisite: ISA 235.
"
"ISA 305. Information Technology Governance, Risk Management, Security and Audit. (3)","The foundations of information technology risk management, security and assurance including the principles of which managerial strategy can be formulated and technical solutions can be selected.
Prerequisites: ISA 235 or equivalent; or permission of instructor.
"
ISA 321. Quantitative Analysis of Business Problems. (3) (MPT),"Examination of business problems from a quantitative model building point of view. Selected models from management science, including linear and nonlinear programming and simulation. Methodologies combined with those from prerequisite courses.
Prerequisite: ISA 291 or ECO 311 or STA 463/STA 563.
"
ISA 333. Nonparametric Statistics. (3) (MPT),"Applied study of statistical techniques useful in estimating parameters of a population whose underlying distribution is unknown. Chi-square, runs, and association tests covered. CAS-QL. (For majors in the department, this course counts only toward the B.S. in Data Science and Statistics.)
Co-requisite: ISA 291 or STA 363.
Cross-listed with STA.
"
ISA 335. Blockchain and Business Applications. (3),"This course provides an introduction to Blockchain, the revolutionary technology behind Bitcoin. The first part of the course is designed to provide an understanding of all the traditional components of blockchains, including cryptographic techniques required to make transactions safe, consensus mechanisms, and incentive schemes. In the second part of the course, students are exposed to applications of Blockchain in a variety of domains, including modern tools for the development and modeling of blockchains.
Prerequisite: BUS 104.
"
ISA 340. Internship. (0-20),"Available to Farmer School of Business (FSB) majors and minors. Available for 0 credit hour during spring, summer and fall terms. Available for 1 credit hour during summer terms only. For one hour of credit, student must secure a sponsoring FSB faculty member within his/her major or minor to supervise the internship and accompanying required internship reflection paper. ISA 340 is not available during winter term. Students are to work through their respective academic departments to enroll in the course. Credit/no credit only. Note: FSB students may earn a maximum 2 credit hours toward graduation for BLS/BUS/ECO/ESP/FIN/ISA/MGT/MKT 340.
Prerequisite: 55 earned hours and permission of department.
"
ISA 365. Statistical Monitoring and Design of Experiments. (3),"Introduction to statistical methods for monitoring process data and data streams. Introduction to experimental design with applications in business analytics.
Prerequisite: ISA 205 or ISA 225 or STA 301 or STA 363 or equivalent.
Cross-listed with STA 365.
"
ISA 377. Independent Studies. (0-6),
ISA 387. Designing Business Systems. (3),"Introduces contemporary approaches for planning, evaluating, and acquiring business software applications such as development, outsourcing, and purchase. Provides an understanding of the business and development environment, the application life cycle, methods, techniques, and tools used today.
Co-requisite: ISA 245 or CSE 385.
"
ISA 401/ISA 501. Business Intelligence and Data Visualization. (3),"An introduction to the use of business intelligence and data visualization in organizations, with emphasis on how information is gathered, stored, analyzed, and used. Topics covered include business intelligence, data warehousing, data visualization, and data mining.
Prerequisite: ISA 245 or CSE 385.
"
ISA 403. Building Web and Mobile Business Applications. (3),"A second course in the design and development of business applications for mobile and the web. It follows the data driven business programming prerequisite ISA 281 and focuses on delivering scalable web and web based mobile applications by using client and server side technologies.
Prerequisites: ISA 281 and ISA 245 or CSE 385.
"
ISA 405. Information Security. (3),"Introduces the broad foundational topics of information security such as threats, vulnerabilities, encryption, controls, privacy issues. An in-depth coverage of organizational security concepts such as governance, policy, risk management frameworks, business continuity planning, security compliance, ethics etc. Concepts are covered using both case studies and cyber security tools. Finally the course will explore emerging standards and managerial issues in security.
Prerequisites: ISA 301 or permission of instructor.
"
