caucus,congress_numbers,current,description,district,enddate,leadership_title,party,phone,role_type,role_type_label,senator_class,senator_class_label,senator_rank,senator_rank_label,startdate,state,title,title_long,website,extra.address,extra.contact_form,extra.office,extra.rss_url,extra.party_affiliations,extra.end-type,extra.how,person.bioguideid,person.birthday,person.cspanid,person.fediverse_webfinger,person.firstname,person.gender,person.gender_label,person.lastname,person.link,person.middlename,person.name,person.namemod,person.nickname,person.osid,person.pvsid,person.sortname,person.twitterid,person.youtubeid
NA,,TRUE,Junior Senator for Washington,NA,2025-01-03,NA,Democrat,202-224-3441,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,WA,Sen.,Senator,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,https://www.cantwell.senate.gov/public/index.cfm/email-maria,511 Hart Senate Office Building,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,,NA,NA,C000127,1958-10-13,26137,NA,Maria,female,Female,Cantwell,https://www.govtrack.us/congress/members/maria_cantwell/300018,,Sen. Maria Cantwell [D-WA],,,N00007836,NA,"Cantwell, Maria (Sen.) [D-WA]",SenatorCantwell,SenatorCantwell
NA,,TRUE,Senior Senator for Delaware,NA,2025-01-03,NA,Democrat,202-224-2441,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,DE,Sen.,Senator,https://www.carper.senate.gov,513 Hart Senate Office Building Washington DC 20510,https://www.carper.senate.gov/contact/,513 Hart Senate Office Building,http://www.carper.senate.gov/public/index.cfm/rss/feed,,NA,NA,C000174,1947-01-23,663,NA,Thomas,male,Male,Carper,https://www.govtrack.us/congress/members/thomas_carper/300019,Richard,Sen. Thomas Carper [D-DE],,,N00012508,NA,"Carper, Thomas (Sen.) [D-DE]",SenatorCarper,senatorcarper
NA,,TRUE,Senior Senator for Michigan,NA,2025-01-03,Senate Democratic Policy & Communications Committee Chair,Democrat,202-224-4822,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,MI,Sen.,Senator,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,https://www.stabenow.senate.gov/contact,731 Hart Senate Office Building,http://stabenow.senate.gov/rss/?p=news,,NA,NA,S000770,1950-04-29,45451,NA,Debbie,female,Female,Stabenow,https://www.govtrack.us/congress/members/debbie_stabenow/300093,Ann,Sen. Debbie Stabenow [D-MI],,,N00004118,NA,"Stabenow, Debbie (Sen.) [D-MI]",SenStabenow,senatorstabenow
NA,,TRUE,Junior Senator for Wisconsin,NA,2025-01-03,Senate Democratic Conference Secretary,Democrat,202-224-5653,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,WI,Sen.,Senator,https://www.baldwin.senate.gov,141 Hart Senate Office Building Washington DC 20510,https://www.baldwin.senate.gov/feedback,141 Hart Senate Office Building,http://www.baldwin.senate.gov/rss/feeds/?type=all,,NA,NA,B001230,1962-02-11,57884,NA,Tammy,female,Female,Baldwin,https://www.govtrack.us/congress/members/tammy_baldwin/400013,,Sen. Tammy Baldwin [D-WI],,,N00004367,NA,"Baldwin, Tammy (Sen.) [D-WI]",SenatorBaldwin,witammybaldwin
NA,,TRUE,Senior Senator for Tennessee,NA,2025-01-03,NA,Republican,202-224-3344,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,TN,Sen.,Senator,https://www.blackburn.senate.gov,357 Dirksen Senate Office Building Washington DC 20510,https://www.blackburn.senate.gov/email-me,357 Dirksen Senate Office Building,NA,,NA,NA,B001243,1952-06-06,31226,NA,Marsha,female,Female,Blackburn,https://www.govtrack.us/congress/members/marsha_blackburn/400032,W.,Sen. Marsha Blackburn [R-TN],,,N00003105,NA,"Blackburn, Marsha (Sen.) [R-TN]",MarshaBlackburn,RepMarshaBlackburn
NA,,TRUE,Senior Senator for Ohio,NA,2025-01-03,NA,Democrat,202-224-2315,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,OH,Sen.,Senator,https://www.brown.senate.gov,503 Hart Senate Office Building Washington DC 20510,https://www.brown.senate.gov/contact/,503 Hart Senate Office Building,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,,NA,NA,B000944,1952-11-09,5051,NA,Sherrod,male,Male,Brown,https://www.govtrack.us/congress/members/sherrod_brown/400050,,Sen. Sherrod Brown [D-OH],,,N00003535,NA,"Brown, Sherrod (Sen.) [D-OH]",SenSherrodBrown,SherrodBrownOhio
NA,,TRUE,Senior Senator for Maryland,NA,2025-01-03,NA,Democrat,202-224-4524,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,MD,Sen.,Senator,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,https://www.cardin.senate.gov/contact/,509 Hart Senate Office Building,http://www.cardin.senate.gov/rss/feeds/?type=all,,NA,NA,C000141,1943-10-05,4004,NA,Benjamin,male,Male,Cardin,https://www.govtrack.us/congress/members/benjamin_cardin/400064,L.,Sen. Benjamin Cardin [D-MD],,,N00001955,NA,"Cardin, Benjamin (Sen.) [D-MD]",SenatorCardin,senatorcardin
NA,,TRUE,Senior Senator for New Jersey,NA,2025-01-03,NA,Democrat,202-224-4744,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,NJ,Sen.,Senator,https://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,https://www.menendez.senate.gov/contact,528 Hart Senate Office Building,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,,NA,NA,M000639,1954-01-01,29608,NA,Robert,male,Male,Menendez,https://www.govtrack.us/congress/members/robert_menendez/400272,,Sen. Robert “Bob” Menendez [D-NJ],,Bob,N00000699,NA,"Menendez, Robert “Bob” (Sen.) [D-NJ]",SenatorMenendez,SenatorMenendezNJ
Democrat,,TRUE,Senior Senator for Vermont,NA,2025-01-03,Senate Democratic Outreach Chair,Independent,202-224-5141,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,VT,Sen.,Senator,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,https://www.sanders.senate.gov/contact/,332 Dirksen Senate Office Building,http://www.sanders.senate.gov/rss/,,NA,NA,S000033,1941-09-08,994,NA,Bernard,male,Male,Sanders,https://www.govtrack.us/congress/members/bernard_sanders/400357,,Sen. Bernard “Bernie” Sanders [I-VT],,Bernie,N00000528,NA,"Sanders, Bernard “Bernie” (Sen.) [I-VT]",SenSanders,senatorsanders
NA,,TRUE,Senior Senator for Mississippi,NA,2025-01-03,NA,Republican,202-224-6253,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,MS,Sen.,Senator,https://www.wicker.senate.gov,425 Russell Senate Office Building Washington DC 20510,https://www.wicker.senate.gov/public/index.cfm/contact,425 Russell Senate Office Building,NA,,NA,NA,W000437,1951-07-05,18203,NA,Roger,male,Male,Wicker,https://www.govtrack.us/congress/members/roger_wicker/400432,F.,Sen. Roger Wicker [R-MS],,,N00003280,NA,"Wicker, Roger (Sen.) [R-MS]",SenatorWicker,SenatorWicker
