"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"US000","0","10","10","0","2024","1","",11907855,152393725,153129544,153848430,3037790324790,1151875077520,19555346530,1526,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",141557,1.2,2159585,1.4,2084056,1.4,2278693,1.5,162512545148,5.7,36492368268,3.3,813710938,4.3,61,4.2
"US000","1","10","11","0","2024","1","",61375,2964192,2977580,2985419,75841797271,0,0,1961,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",669,1.1,96720,3.4,95909,3.3,99315,3.4,5854012451,8.4,0,0.0,0,0.0,91,4.9
"US000","1","101","12","0","2024","1","",159,52336,52648,52977,1364624034,0,0,1994,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",14,9.7,1392,2.7,1520,3.0,1660,3.2,104827708,8.3,0,0.0,0,0.0,99,5.2
"US000","1","1011","13","0","2024","1","",75,3272,3341,3578,65753269,0,0,1489,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,1.4,320,10.8,327,10.8,372,11.6,8942680,15.7,0,0.0,0,0.0,60,4.2
"US000","1","1012","13","0","2024","1","",5,28,27,28,1074550,0,0,2988,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",4,400.0,23,460.0,22,440.0,23,460.0,902830,525.8,0,0.0,0,0.0,346,13.1
"US000","1","1013","13","0","2024","1","",79,49036,49280,49371,1297796215,0,0,2028,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",9,12.9,1049,2.2,1171,2.4,1265,2.6,94982198,7.9,0,0.0,0,0.0,103,5.4
"US000","1","102","12","0","2024","1","",61216,2911856,2924932,2932442,74477173237,0,0,1960,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",655,1.1,95328,3.4,94389,3.3,97655,3.4,5749184743,8.4,0,0.0,0,0.0,90,4.8
"US000","1","1021","13","0","2024","1","",30860,668181,670811,672093,12831447004,0,0,1472,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",509,1.7,4011,0.6,1893,0.3,2210,0.3,121680646,1.0,0,0.0,0,0.0,8,0.5
"US000","1","1022","13","0","2024","1","",145,6658,6646,6613,149366689,0,0,1731,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-1,-0.7,207,3.2,208,3.2,142,2.2,11064545,8.0,0,0.0,0,0.0,82,5.0
"US000","1","1023","13","0","2024","1","",828,12820,12780,12828,482997976,0,0,2901,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",13,1.6,223,1.8,278,2.2,340,2.7,35300907,7.9,0,0.0,0,0.0,152,5.5
"US000","1","1024","13","0","2024","1","",1530,71691,71910,72078,1810922109,0,0,1938,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",94,6.5,2425,3.5,2430,3.5,2639,3.8,140015555,8.4,0,0.0,0,0.0,86,4.6
"US000","1","1025","13","0","2024","1","",1467,457876,459611,460001,12891007037,0,0,2160,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",48,3.4,25644,5.9,25605,5.9,24815,5.7,1593243154,14.1,0,0.0,0,0.0,157,7.8
"US000","1","1026","13","0","2024","1","",1440,44921,45587,45953,680758316,0,0,1151,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",8,0.6,1714,4.0,1476,3.3,1475,3.3,45918309,7.2,0,0.0,0,0.0,39,3.5
"US000","1","1027","13","0","2024","1","",166,4975,4976,4959,85524558,0,0,1324,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",2,1.2,149,3.1,92,1.9,90,1.8,6902441,8.8,0,0.0,0,0.0,80,6.4
"US000","1","1028","13","0","2024","1","",24778,1644732,1652608,1657914,45545063320,0,0,2121,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-14,-0.1,60954,3.8,62405,3.9,65942,4.1,3794997553,9.1,0,0.0,0,0.0,99,4.9
"US000","1","1029","13","0","2024","1","",2,2,3,3,86228,0,0,2487,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-4,-66.7,1,100.0,2,200.0,2,200.0,61633,250.6,0,0.0,0,0.0,595,31.4
"US000","1","11","14","0","2024","1","",75,3272,3341,3578,65753269,0,0,1489,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,1.4,320,10.8,327,10.8,372,11.6,8942680,15.7,0,0.0,0,0.0,60,4.2
"US000","1","111","15","0","2024","1","",2,4,3,3,129326,0,0,2984,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,100.0,-4,-50.0,-5,-62.5,-1,-25.0,-23785,-15.5,0,0.0,0,0.0,1217,68.9
"US000","1","1111","16","0","2024","1","",2,4,3,3,129326,0,0,2984,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,100.0,-4,-50.0,-5,-62.5,-1,-25.0,-23785,-15.5,0,0.0,0,0.0,1217,68.9
"US000","1","11111","17","0","2024","1","",2,4,3,3,129326,0,0,2984,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,100.0,-4,-50.0,-5,-62.5,-1,-25.0,-23785,-15.5,0,0.0,0,0.0,1217,68.9
"US000","1","111110","18","0","2024","1","",2,4,3,3,129326,0,0,2984,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,100.0,-4,-50.0,-5,-62.5,-1,-25.0,-23785,-15.5,0,0.0,0,0.0,1217,68.9
"US000","1","112","15","0","2024","1","",2,17,17,18,335514,0,0,1489,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,0,0.0,0,0.0,1,5.9,1865,0.6,0,0.0,0,0.0,-21,-1.4
"US000","1","1125","16","0","2024","1","",2,17,17,18,335514,0,0,1489,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,0,0.0,0,0.0,1,5.9,1865,0.6,0,0.0,0,0.0,-21,-1.4
"US000","1","11251","17","0","2024","1","",2,17,17,18,335514,0,0,1489,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,0,0.0,0,0.0,1,5.9,1865,0.6,0,0.0,0,0.0,-21,-1.4
"US000","1","112511","18","0","2024","1","",2,17,17,18,335514,0,0,1489,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,0,0.0,0,0.0,1,5.9,1865,0.6,0,0.0,0,0.0,-21,-1.4
"US000","1","113","15","0","2024","1","",70,3245,3314,3551,65232306,0,0,1489,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,325,11.1,332,11.1,373,11.7,8959924,15.9,0,0.0,0,0.0,59,4.1
"US000","1","1131","16","0","2024","1","",70,3245,3314,3551,65232306,0,0,1489,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,325,11.1,332,11.1,373,11.7,8959924,15.9,0,0.0,0,0.0,59,4.1
"US000","1","11311","17","0","2024","1","",70,3245,3314,3551,65232306,0,0,1489,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,325,11.1,332,11.1,373,11.7,8959924,15.9,0,0.0,0,0.0,59,4.1
"US000","1","113110","18","0","2024","1","",70,3245,3314,3551,65232306,0,0,1489,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,325,11.1,332,11.1,373,11.7,8959924,15.9,0,0.0,0,0.0,59,4.1
"US000","1","114","15","0","2024","1","",1,6,7,6,56123,0,0,682,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,-1,-14.3,0,0.0,-1,-14.3,4676,9.1,0,0.0,0,0.0,117,20.7
"US000","1","1142","16","0","2024","1","",1,6,7,6,56123,0,0,682,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,-1,-14.3,0,0.0,-1,-14.3,4676,9.1,0,0.0,0,0.0,117,20.7
"US000","1","11421","17","0","2024","1","",1,6,7,6,56123,0,0,682,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,-1,-14.3,0,0.0,-1,-14.3,4676,9.1,0,0.0,0,0.0,117,20.7
"US000","1","114210","18","0","2024","1","",1,6,7,6,56123,0,0,682,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,-1,-14.3,0,0.0,-1,-14.3,4676,9.1,0,0.0,0,0.0,117,20.7
"US000","1","22","14","0","2024","1","",205,9548,9575,9591,345392806,0,0,2776,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-4,-1.9,-2050,-17.7,-2135,-18.2,-2142,-18.3,-47906302,-12.2,0,0.0,0,0.0,186,7.2
"US000","1","221","15","0","2024","1","",205,9548,9575,9591,345392806,0,0,2776,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-4,-1.9,-2050,-17.7,-2135,-18.2,-2142,-18.3,-47906302,-12.2,0,0.0,0,0.0,186,7.2
"US000","1","2211","16","0","2024","1","",200,8805,8833,8848,325694242,0,0,2838,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-4,-2.0,-2046,-18.9,-2117,-19.3,-2127,-19.4,-48796967,-13.0,0,0.0,0,0.0,201,7.6
"US000","1","22111","17","0","2024","1","",79,5974,5968,5974,223936641,0,0,2884,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-18,-18.6,-2274,-27.6,-2357,-28.3,-2367,-28.4,-60195653,-21.2,0,0.0,0,0.0,252,9.6
"US000","1","221111","18","0","2024","1","",65,1710,1712,1718,57822733,0,0,2596,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-24,-27.0,-4629,-73.0,-4700,-73.3,-4715,-73.3,-151824120,-72.4,0,0.0,0,0.0,74,2.9
"US000","1","221112","18","0","2024","1","",11,987,970,968,36794508,0,0,2903,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",5,83.3,418,73.5,398,69.6,398,69.8,16420426,80.6,0,0.0,0,0.0,155,5.6
"US000","1","221113","18","0","2024","1","",3,3277,3286,3288,129319400,0,0,3029,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,50.0,1937,144.6,1945,145.0,1950,145.7,75208041,139.0,0,0.0,0,0.0,-78,-2.5
"US000","1","22112","17","0","2024","1","",121,2831,2865,2874,101757601,0,0,2740,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",14,13.1,228,8.8,240,9.1,240,9.1,11398686,12.6,0,0.0,0,0.0,88,3.3
"US000","1","221121","18","0","2024","1","",88,2190,2216,2227,78398002,0,0,2728,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",33,60.0,341,18.4,349,18.7,357,19.1,15170434,24.0,0,0.0,0,0.0,116,4.4
