flow_duration,total_fwd_packets,total_backward_packets,max_packet_length,average_packet_size,active_mean,label
20771,2,2,102,82.5,0,BENIGN
178,6,2,31,13,0,BENIGN
3,2,0,6,9,0,BENIGN
109633917,54,71,2525,144.608,346954.25,BENIGN
2,2,0,6,9,0,BENIGN
30678924,21,21,2731,290.14285714285717,153719.66666666663,BENIGN
55114,1,3,6,7.5,0,BENIGN
45511,2,2,61,64.25,0,BENIGN
113,1,2,6,8,0,BENIGN
105832,2,2,57,59.25,0,BENIGN
21211,2,2,121,92.75,0,BENIGN
9015162,6,0,0,0,3009128,BENIGN
20557,2,2,69,74.25,0,BENIGN
117780540,86,127,2860,922.4272300469484,191633.5,BENIGN
53730,1,2,6,4,0,BENIGN
3,2,0,6,9,0,BENIGN
1411,4,0,46,43.75,0,BENIGN
20938,2,2,120,87,0,BENIGN
47997,2,2,102,83.25,0,BENIGN
1633415,35,44,1430,130.1772151898734,0,BENIGN
117128003,16,16,173,53.28125,101530.5,BENIGN
173,5,0,46,41.2,0,BENIGN
20651,2,2,63,57.75,0,BENIGN
45393,2,2,43,41.75,0,BENIGN
1,2,0,31,34,0,BENIGN
2,1,1,6,9,0,BENIGN
134,1,2,6,8,0,BENIGN
7191277,2,8,0,0,0,BENIGN
20758,2,2,59,61.75,0,BENIGN
21519,2,2,188,139,0,BENIGN
20967,2,2,113,84.25,0,BENIGN
141,1,2,6,8,0,BENIGN
20714,2,2,143,97.75,0,BENIGN
45354,2,2,63,57.75,0,BENIGN
20741,2,2,90,73.5,0,BENIGN
3,2,0,6,9,0,BENIGN
20855,2,2,55,56.75,0,BENIGN
3,2,0,6,9,0,BENIGN
46932,2,2,198,132,0,BENIGN
21018,2,2,107,88.75,0,BENIGN
30747364,4,4,128,69.625,20647,BENIGN
41071,1,1,6,9,0,BENIGN
65967,2,2,47,46.75,0,BENIGN
118,1,2,6,8,0,BENIGN
61038857,28,29,2920,366.35087719298247,202953.5,BENIGN
21203,2,2,83,63.25,0,BENIGN
21159,1,2,0,0,0,BENIGN
20585,2,2,57,47.25,0,BENIGN
40151,1,1,6,9,0,BENIGN
9015773,6,0,0,0,3009764,BENIGN
88137,11,10,1430,339.3333333333333,0,BENIGN
20889,2,2,103,86.75,0,BENIGN
21013,2,2,60,63,0,BENIGN
10083522,18,21,2085,263.12820512820514,83745,BENIGN
20857,2,2,90,73.5,0,BENIGN
