"","Sex","Age","Married","Income","HoursWk","Race","USCitizen","HealthInsurance","Language"
"1",0,31,0,60,40,"white",1,1,1
"2",1,31,0,0.36,12,"black",1,1,0
"8",1,35,0,87,40,"white",1,1,1
"9",0,70,1,0,1,"white",1,1,0
"11",1,48,1,32,48,"white",1,0,0
"12",0,61,1,0,20,"white",1,0,0
"13",0,52,0,48,40,"white",1,1,0
"14",0,36,1,2,40,"white",1,1,0
"15",0,20,0,0.5,2,"white",1,1,0
"19",1,75,1,21.6,6,"white",1,1,0
"21",0,48,1,22,20,"white",1,1,0
"23",0,62,1,6.8,18,"white",1,1,0
"25",1,32,0,30,60,"white",1,1,0
"26",0,21,0,2.5,20,"white",1,1,0
"27",1,21,0,1.5,20,"white",1,1,0
"28",0,39,1,0,30,"white",1,1,1
"29",0,42,1,3,40,"white",1,0,1
"30",0,48,1,75,40,"white",1,1,0
"31",1,34,0,0,70,"white",1,0,0
"32",0,61,0,19,38,"white",1,1,0
"33",0,32,0,50,50,"white",1,1,1
"34",1,51,1,130,50,"white",1,1,0
"39",1,43,1,0,10,"asian",1,1,0
"42",1,37,1,47,40,"white",1,0,1
"44",1,33,0,1.5,15,"white",1,0,0
"45",0,70,1,11.4,17,"white",1,1,0
"46",1,27,0,15,30,"white",1,0,0
"47",1,66,1,13,20,"white",1,1,0
"48",0,48,0,31,40,"black",1,1,0
"51",1,56,1,140,50,"white",1,1,0
"55",1,36,1,1,40,"other",1,1,1
"59",0,23,0,10.5,40,"white",1,1,0
"60",0,68,0,17.1,40,"white",1,1,0
"63",0,26,1,45,40,"white",1,1,0
"64",0,30,0,1.1,40,"black",1,0,0
"65",0,29,0,17,40,"white",1,1,0
"66",1,37,1,15.1,30,"white",0,1,0
"68",0,49,0,47.9,40,"white",1,1,0
"69",1,55,1,0,40,"white",1,1,0
"71",1,43,0,50,40,"white",1,1,0
"72",1,21,0,1.5,30,"asian",1,0,1
"74",1,57,1,0.8,24,"white",1,1,0
"75",1,35,0,13,20,"white",1,1,1
"76",0,56,0,23,60,"white",1,1,0
"77",0,34,0,30.2,44,"white",1,1,0
"79",0,18,0,1,12,"white",1,1,0
"81",0,47,0,10,32,"white",1,1,0
"83",1,30,0,60,50,"white",1,1,0
"84",1,53,1,75,45,"white",1,0,0
"85",0,55,1,3.8,16,"white",1,1,0
"86",1,48,1,47,40,"other",1,1,1
"87",1,50,0,52,27,"white",1,0,0
"88",1,54,1,57,40,"white",1,1,0
"90",1,52,0,28.9,43,"white",1,1,0
"91",0,48,1,15,35,"black",1,1,0
"92",1,58,1,72,40,"asian",0,1,1
"93",0,43,1,6,40,"black",1,0,0
"97",1,28,0,14,25,"white",1,1,0
"100",0,25,0,38,48,"black",1,1,1
"101",1,25,0,0.56,7,"white",1,0,0
"102",0,45,0,4.9,35,"white",1,1,0
"103",0,62,1,15,20,"white",1,1,0
"104",0,46,1,4.1,30,"white",1,1,1
"105",0,41,1,50,50,"asian",1,1,1
"106",0,27,1,52,45,"white",1,1,0
"108",1,61,1,85,40,"white",1,1,0
"109",0,59,1,29.7,40,"white",1,1,0
"111",1,44,1,65,48,"white",1,1,0
"115",0,50,1,16,30,"white",1,1,0
"119",0,47,1,5.5,25,"white",1,1,0
"120",1,49,1,36,40,"asian",1,1,1
"121",1,25,0,7.8,35,"white",1,1,0
"126",0,22,0,17.5,35,"white",1,1,0
"129",1,41,1,563,62,"white",1,1,1
"134",0,42,1,14,20,"white",1,1,0
"135",1,42,1,25,50,"white",0,0,1
"138",0,20,0,2,25,"white",1,1,0
"139",0,60,0,47,35,"asian",1,1,1
"141",0,47,1,33,40,"white",1,1,0
"144",0,49,1,94,36,"white",1,1,0
"145",1,37,1,97,65,"white",1,1,1
"148",1,27,1,60,40,"white",1,1,0
"149",0,32,1,70,36,"white",1,1,0
"150",1,41,1,90,40,"asian",0,1,1
"151",1,41,1,60,40,"white",1,1,0
"152",1,46,0,60,48,"white",1,1,0
"153",0,36,1,20,20,"white",1,1,1
"154",1,42,1,80,60,"asian",0,1,1
"161",0,49,1,16,30,"asian",1,1,1
"163",1,29,1,0,40,"white",0,0,1
"164",1,64,1,33.3,40,"white",1,1,0
"165",0,45,1,382,55,"white",1,1,0
"167",1,51,0,90,50,"white",1,1,0
"169",1,53,1,40,32,"white",1,1,0
"170",0,50,1,45,40,"white",1,1,0
"173",0,41,0,55,40,"white",1,1,0
"174",0,52,1,70,40,"white",1,1,0
"176",0,38,1,24,40,"white",1,1,0
"180",1,33,0,40,24,"asian",1,0,1
"183",1,62,1,56,40,"white",1,1,0
"184",1,36,1,85,38,"white",1,1,0
"185",1,30,0,9,20,"black",1,0,0
"187",1,63,1,82,32,"asian",1,1,1
"188",1,35,1,62,70,"asian",1,1,1
"189",1,22,0,0.7,25,"white",1,1,0
"191",0,41,0,59,68,"black",1,1,0
"193",0,21,0,8,40,"white",1,1,0
"194",1,29,0,2,20,"asian",0,0,1
"197",1,31,0,22.1,45,"white",1,1,0
"198",1,40,1,30,45,"white",1,1,0
"199",0,45,0,25,40,"white",1,1,0
"201",0,19,0,2,25,"white",1,1,0
"203",0,41,0,31.2,40,"white",1,1,0
"204",0,26,1,51,45,"white",1,1,0
"209",1,30,1,16,20,"other",0,0,1
"212",0,37,1,28.9,40,"white",1,1,0
"214",0,46,1,0.8,23,"white",1,1,0
"217",0,28,0,105,50,"white",1,1,0
"218",0,56,1,27,40,"white",1,1,0
"219",0,47,1,10,8,"white",1,0,1
"223",0,34,1,36,40,"white",1,1,0
"227",1,32,1,40,40,"white",1,1,0
"228",0,64,1,83,40,"white",1,1,0
"229",1,79,1,3.6,60,"white",1,1,0
"231",0,36,1,20,40,"white",0,1,1
"234",1,52,0,72,36,"white",1,1,0
"235",0,59,0,0,17,"white",1,1,0
"237",0,34,1,0.4,40,"white",1,1,0
"238",0,56,1,0,10,"asian",0,0,1
"241",0,62,0,5.9,25,"other",1,0,0
"242",1,51,1,2,30,"asian",1,1,0
"244",1,51,1,80,40,"white",1,1,0
"245",1,69,1,0,40,"white",0,1,1
"246",1,58,1,22.4,40,"asian",1,1,1
"248",0,47,1,9,22,"white",1,1,0
"252",0,75,0,7.7,32,"black",1,1,0
"254",1,26,1,19,40,"white",1,0,0
"255",1,53,0,8,46,"white",1,0,0
"256",1,31,1,0.5,48,"white",1,1,0
"258",0,60,1,60,40,"white",1,1,0
"259",1,82,1,0.9,7,"white",1,1,0
"261",1,66,1,37,42,"white",0,1,1
"264",1,49,0,40,50,"white",1,0,0
"266",0,25,0,41,45,"asian",1,1,1
"267",0,20,0,14.4,40,"white",1,0,0
"271",1,29,0,30,40,"white",1,1,1
"274",1,72,1,67,80,"white",1,1,0
"275",1,52,1,115,40,"black",1,1,0
"276",0,55,0,55,40,"white",1,1,0
"278",1,76,1,5,40,"white",1,1,0
"280",1,61,1,20.2,55,"white",1,1,0
"281",1,25,0,7.7,40,"white",1,1,0
"284",0,67,1,15,30,"white",1,1,0
"288",1,64,1,15,30,"white",1,1,0
"290",1,46,1,0,40,"white",1,1,0
"293",1,44,0,0,20,"asian",1,0,0
"296",1,73,1,8,20,"white",1,1,0
"297",1,24,0,52,44,"white",1,1,0
"301",1,32,1,60,50,"white",1,1,0
"302",0,39,0,57,40,"black",1,1,0
"303",1,25,0,15,32,"white",1,0,0
"305",0,19,0,1.5,25,"white",1,1,0
"307",0,44,1,21,24,"white",1,1,0
"308",1,31,0,92,60,"black",1,1,0
"309",1,50,0,0,6,"white",1,1,0
"311",1,32,0,65,70,"white",1,1,0
"314",1,47,1,36,40,"white",1,1,0
"316",0,42,0,60,40,"black",1,1,0
"318",1,58,1,42,40,"white",1,1,1
"319",1,61,1,108,45,"white",1,1,0
"321",0,38,1,41,40,"white",1,1,0
"322",1,25,1,5,70,"white",1,1,0
"324",1,60,1,37,40,"white",1,1,0
"342",1,60,1,60,40,"white",1,1,0
"343",0,16,0,0.49,8,"white",1,1,0
"344",1,59,1,21.6,30,"white",1,1,0
"348",1,45,0,10,50,"black",1,1,0
"351",1,49,1,50,37,"black",1,1,0
"353",0,27,0,2,40,"asian",1,1,1
"354",1,49,1,56,40,"white",1,1,0
"355",1,56,1,80,40,"asian",1,1,1
"356",1,28,0,28,37,"asian",1,1,1
"358",1,54,1,46,40,"asian",1,1,1
"359",0,59,0,16,40,"white",1,0,0
"360",0,62,0,0,1,"white",1,1,0
"361",0,19,0,2.1,8,"white",1,1,0
