date,n
2022-01-01,80
2022-01-02,39
2022-01-03,73
2022-01-04,95
2022-01-05,90
2022-01-06,91
2022-01-07,81
2022-01-08,66
2022-01-09,48
2022-01-10,63
2022-01-11,79
2022-01-12,48
2022-01-13,52
2022-01-14,51
2022-01-15,69
2022-01-16,78
2022-01-17,84
2022-01-18,59
2022-01-19,73
2022-01-20,48
2022-01-21,50
2022-01-22,67
2022-01-23,45
2022-01-24,50
2022-01-25,73
2022-01-26,87
2022-01-27,56
2022-01-28,234
2022-01-29,117
2022-01-30,71
2022-01-31,92
2022-02-01,113
2022-02-02,75
2022-02-03,17
2022-02-04,54
2022-02-05,59
2022-02-06,63
2022-02-07,51
2022-02-08,101
2022-02-09,80
2022-02-10,72
2022-02-11,88
2022-02-12,75
2022-02-13,81
2022-02-14,76
2022-02-15,87
2022-02-16,98
2022-02-17,74
2022-02-18,113
2022-02-19,63
2022-02-20,39
2022-02-21,54
2022-02-22,87
2022-02-23,59
2022-02-24,77
2022-02-25,62
2022-02-26,54
2022-02-27,52
2022-02-28,69
2022-03-01,79
2022-03-02,92
2022-03-03,102
2022-03-04,88
2022-03-05,91
2022-03-06,72
2022-03-07,76
2022-03-08,56
2022-03-09,42
2022-03-10,72
2022-03-11,77
2022-03-12,45
2022-03-13,51
2022-03-14,55
2022-03-15,71
2022-03-16,73
2022-03-17,83
2022-03-18,92
2022-03-19,67
2022-03-20,60
2022-03-21,67
2022-03-22,70
2022-03-23,102
2022-03-24,40
2022-03-25,78
2022-03-26,63
2022-03-27,58
2022-03-28,77
2022-03-29,58
2022-03-30,59
2022-03-31,81
2022-04-01,88
2022-04-02,55
2022-04-03,55
2022-04-04,66
2022-04-05,110
2022-04-06,97
2022-04-07,72
2022-04-08,64
2022-04-09,81
2022-04-10,70
2022-04-11,61
2022-04-12,71
2022-04-13,103
2022-04-14,108
2022-04-15,92
2022-04-16,63
2022-04-17,36
2022-04-18,58
2022-04-19,90
2022-04-20,46
2022-04-21,67
2022-04-22,98
2022-04-23,62
2022-04-24,65
2022-04-25,76
2022-04-26,79
2022-04-27,76
2022-04-28,73
2022-04-29,69
2022-04-30,74
2022-05-01,62
2022-05-02,76
2022-05-03,95
2022-05-04,74
2022-05-05,96
2022-05-06,88
2022-05-07,70
2022-05-08,57
2022-05-09,70
2022-05-10,77
2022-05-11,65
2022-05-12,95
2022-05-13,97
2022-05-14,94
2022-05-15,74
2022-05-16,70
2022-05-17,65
2022-05-18,98
2022-05-19,70
2022-05-20,96
2022-05-21,67
2022-05-22,43
2022-05-23,50
2022-05-24,84
2022-05-25,99
2022-05-26,75
2022-05-27,107
2022-05-28,64
2022-05-29,53
2022-05-30,62
2022-05-31,76
2022-06-01,63
2022-06-02,87
2022-06-03,92
2022-06-04,64
2022-06-05,66
2022-06-06,83
2022-06-07,100
2022-06-08,84
2022-06-09,76
2022-06-10,71
2022-06-11,72
2022-06-12,48
2022-06-13,65
2022-06-14,102
2022-06-15,98
2022-06-16,107
2022-06-17,82
2022-06-18,54
2022-06-19,66
2022-06-20,69
2022-06-21,68
2022-06-22,63
2022-06-23,62
2022-06-24,95
2022-06-25,60
2022-06-26,76
2022-06-27,70
2022-06-28,65
2022-06-29,96
2022-06-30,69
2022-07-01,80
2022-07-02,63
2022-07-03,75
2022-07-04,67
2022-07-05,58
2022-07-06,92
2022-07-07,85
2022-07-08,105
2022-07-09,66
2022-07-10,41
2022-07-11,68
2022-07-12,60
2022-07-13,64
2022-07-14,83
2022-07-15,84
2022-07-16,62
2022-07-17,101
2022-07-18,77
2022-07-19,59
2022-07-20,64
2022-07-21,82
2022-07-22,91
2022-07-23,67
2022-07-24,68
2022-07-25,63
2022-07-26,85
2022-07-27,86
2022-07-28,60
2022-07-29,83
2022-07-30,51
2022-07-31,50
2022-08-01,69
2022-08-02,66
2022-08-03,69
2022-08-04,73
2022-08-05,80
2022-08-06,60
2022-08-07,52
2022-08-08,82
2022-08-09,57
2022-08-10,50
2022-08-11,68
2022-08-12,72
2022-08-13,75
2022-08-14,77
2022-08-15,48
2022-08-16,95
2022-08-17,66
2022-08-18,96
2022-08-19,66
2022-08-20,78
2022-08-21,69
2022-08-22,37
2022-08-23,62
2022-08-24,72
2022-08-25,102
2022-08-26,86
2022-08-27,108
2022-08-28,63
2022-08-29,89
2022-08-30,84
2022-08-31,84
2022-09-01,62
2022-09-02,88
2022-09-03,102
2022-09-04,68
2022-09-05,56
2022-09-06,86
2022-09-07,75
2022-09-08,94
2022-09-09,62
2022-09-10,70
2022-09-11,96
2022-09-12,96
2022-09-13,83
2022-09-14,73
2022-09-15,83
2022-09-16,99
2022-09-17,70
2022-09-18,43
2022-09-19,98
2022-09-20,71
2022-09-21,73
2022-09-22,84
2022-09-23,100
2022-09-24,72
2022-09-25,36
2022-09-26,71
2022-09-27,93
2022-09-28,90
2022-09-29,90
2022-09-30,104
2022-10-01,63
2022-10-02,49
2022-10-03,68
2022-10-04,81
2022-10-05,77
2022-10-06,68
2022-10-07,79
2022-10-08,77
2022-10-09,55
2022-10-10,96
2022-10-11,89
2022-10-12,66
2022-10-13,108
2022-10-14,71
2022-10-15,76
2022-10-16,55
2022-10-17,59
2022-10-18,93
2022-10-19,79
2022-10-20,74
2022-10-21,92
2022-10-22,74
2022-10-23,71
2022-10-24,83
2022-10-25,75
2022-10-26,90
2022-10-27,101
2022-10-28,91
2022-10-29,66
2022-10-30,110
2022-10-31,107
2022-11-01,94
2022-11-02,74
2022-11-03,70
2022-11-04,66
2022-11-05,74
2022-11-06,56
2022-11-07,62
2022-11-08,73
2022-11-09,97
2022-11-10,76
2022-11-11,86
2022-11-12,60
2022-11-13,42
2022-11-14,73
2022-11-15,77
2022-11-16,88
2022-11-17,50
2022-11-18,85
2022-11-19,78
2022-11-20,50
2022-11-21,80
2022-11-22,89
2022-11-23,61
2022-11-24,43
2022-11-25,50
2022-11-26,58
2022-11-27,106
2022-11-28,56
2022-11-29,55
2022-11-30,87
2022-12-01,68
2022-12-02,95
2022-12-03,59
2022-12-04,62
2022-12-05,70
2022-12-06,153
2022-12-07,74
2022-12-08,79
2022-12-09,67
2022-12-10,51
2022-12-11,45
2022-12-12,72
2022-12-13,53
2022-12-14,160
2022-12-15,92
2022-12-16,56
2022-12-17,41
2022-12-18,41
2022-12-19,54
2022-12-20,70
2022-12-21,86
2022-12-22,129
2022-12-23,66
2022-12-24,43
2022-12-25,48
2022-12-26,33
2022-12-27,66
2022-12-28,55
2022-12-29,57
2022-12-30,48
2022-12-31,47
