administrative_area_level_2,date,confirmed,deaths,population
Alabama,2020-03-16,6,0,4903185
Alabama,2020-03-17,10,0,4903185
Alabama,2020-03-18,12,0,4903185
Alabama,2020-03-19,27,0,4903185
Alabama,2020-03-20,28,0,4903185
Alabama,2020-03-21,25,0,4903185
Alabama,2020-03-22,26,0,4903185
Alabama,2020-03-23,39,0,4903185
Alabama,2020-03-24,46,0,4903185
Alabama,2020-03-25,144,1,4903185
Alabama,2020-03-26,152,2,4903185
Alabama,2020-03-27,101,1,4903185
Alabama,2020-03-28,81,0,4903185
Alabama,2020-03-29,110,1,4903185
Alabama,2020-03-30,117,6,4903185
Alabama,2020-03-31,52,3,4903185
Alabama,2020-04-01,109,14,4903185
Alabama,2020-04-02,162,4,4903185
Alabama,2020-04-03,265,6,4903185
Alabama,2020-04-04,97,6,4903185
Alabama,2020-04-05,208,1,4903185
Alabama,2020-04-06,165,8,4903185
Alabama,2020-04-07,192,11,4903185
Alabama,2020-04-08,301,3,4903185
Alabama,2020-04-09,340,11,4903185
Alabama,2020-04-10,170,2,4903185
Alabama,2020-04-11,254,13,4903185
Alabama,2020-04-12,321,0,4903185
Alabama,2020-04-13,222,11,4903185
Alabama,2020-04-14,148,10,4903185
Alabama,2020-04-15,288,9,4903185
Alabama,2020-04-16,163,14,4903185
Alabama,2020-04-17,168,14,4903185
Alabama,2020-04-18,151,0,4903185
Alabama,2020-04-19,180,13,4903185
Alabama,2020-04-20,175,4,4903185
Alabama,2020-04-21,249,22,4903185
Alabama,2020-04-22,283,15,4903185
Alabama,2020-04-23,222,0,4903185
Alabama,2020-04-24,194,12,4903185
Alabama,2020-04-25,187,4,4903185
Alabama,2020-04-26,208,6,4903185
Alabama,2020-04-27,118,9,4903185
Alabama,2020-04-28,211,14,4903185
Alabama,2020-04-29,175,20,4903185
Alabama,2020-04-30,143,10,4903185
Alabama,2020-05-01,226,17,4903185
Alabama,2020-05-02,317,0,4903185
Alabama,2020-05-03,277,2,4903185
Alabama,2020-05-04,224,8,4903185
Alabama,2020-05-05,325,17,4903185
Alabama,2020-05-06,254,28,4903185
Alabama,2020-05-07,355,26,4903185
