Manufacturer,Make,Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
JEEP,Grand Cherokee,JEEP Grand Cherokee,5.7,8,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NCRXT05.75P0,standard SUV,5,14,22,17,3,No,533
CHEVROLET,Trailblazer,CHEVROLET Trailblazer,1.2,3,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NGMXV01.3545,small SUV,7,29,31,30,6,No,296
CHEVROLET,Camaro,CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,NGMXV06.2090,small car,1,16,26,20,4,No,452
CHEVROLET,Blazer,CHEVROLET Blazer,3.6,6,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NGMXT03.6151,small SUV,6,19,26,21,4,No,417
TOYOTA,RAV4,TOYOTA RAV4,2.5,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NTYXT02.5P3H,small SUV,7,27,35,30,6,No,296
LEXUS,IS 300,LEXUS IS 300,3.5,6,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NTYXV03.5M5A,small car,5,19,26,22,5,No,407
TOYOTA,Camry XLE/XSE,TOYOTA Camry XLE/XSE,2.5,4,SemiAuto-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NTYXJ02.5N4L,midsize car,6,25,34,28,6,No,315
CHEVROLET,Silverado 4WD Mud Terrain Tire,CHEVROLET Silverado 4WD Mud Terrain Tire,5.3,8,Auto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NGMXT05.3386,pickup,6,14,17,15,2,No,581
JEEP,Wrangler,JEEP Wrangler,3.6,6,Auto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NCRXT03.65P9,small SUV,7,19,24,21,4,No,421
CHEVROLET,Colorado,CHEVROLET Colorado,2.8,4,Auto-6,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,NGMXT02.8358,pickup,3,20,30,23,4,No,435
CHEVROLET,Silverado,CHEVROLET Silverado,5.3,8,Auto-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NGMXT05.3386,pickup,6,15,20,17,3,No,521
CHEVROLET,Equinox,CHEVROLET Equinox,1.5,4,Auto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NGMXT01.5090,small SUV,7,26,31,28,6,No,318
CHEVROLET,Suburban,CHEVROLET Suburban,6.2,8,Auto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NGMXT06.2375,standard SUV,6,14,19,16,3,No,568
CHEVROLET,Colorado,CHEVROLET Colorado,3.6,6,Auto-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NGMXT03.6162,pickup,6,17,24,19,4,No,465
LEXUS,UX 250h,LEXUS UX 250h,2,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NTYXV02.0P3B,small car,7,43,41,42,8,Yes,209
LEXUS,ES 250,LEXUS ES 250,2.5,4,SemiAuto-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NTYXJ02.5N4L,midsize car,6,25,34,28,6,No,315
CHEVROLET,Spark,CHEVROLET Spark,1.4,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NGMXV01.4050,small car,5,30,38,33,7,No,266
