Manufacturer,Model,Cmb MPG,Displ,Cyl,Air Pollution Score,Comb CO2
AUDI,AUDI S6,22,2.9,6,5,408
AUDI,AUDI TT Roadster,25,2,4,7,347
BMW,BMW M850i xDrive Gran Coupe,19,4.4,8,3,457
BMW,BMW X1 xDrive28i,28,2,4,8,313
BMW,BMW 840i Convertible,24,3,6,3,374
CHEVROLET,CHEVROLET Tahoe,16,6.2,8,6,555
CHEVROLET,CHEVROLET Silverado 4WD Mud Terrain Tire,16,6.2,8,6,567
CHEVROLET,CHEVROLET Silverado,24,3,6,5,423
HONDA,HONDA Odyssey,22,3.5,6,5,394
HYUNDAI,HYUNDAI Elantra N,25,2,4,3,358
KIA,KIA Sportage,28,2.5,4,5,322
