Player,Pos,Age,Tm,G,FG,FG%,eFG%,PTS
Ja Morant,PG,23,MEM,4,11.5,.548,.619,35.3
Luka Dončić,PG,23,DAL,2,11.0,.478,.543,33.5
Stephen Curry,PG,34,GSW,3,10.3,.470,.591,33.3
Damian Lillard,PG,32,POR,4,10.5,.500,.595,33.3
Donovan Mitchell,SG,26,CLE,3,11.3,.493,.572,33.3
Giannis Antetokounmpo,PF,28,MIL,2,13.0,.703,.743,32.5
Jayson Tatum,SF,24,BOS,4,11.3,.556,.630,32.5
Devin Booker,SG,26,PHO,3,11.3,.531,.602,32
Kevin Durant,SF,34,BRK,3,11.0,.559,.610,32
De'Aaron Fox,PG,25,SAC,3,12.7,.594,.664,31.7
Shai Gilgeous-Alexander,SG,24,OKC,2,11.5,.489,.521,30
Kyrie Irving,PG,30,BRK,3,10.3,.463,.515,27.3
LeBron James,SF,38,LAL,3,10.3,.477,.531,27.3
DeMar DeRozan,SG,33,CHI,4,9.5,.535,.549,26.8
Joel Embiid,C,28,PHI,4,9.3,.481,.500,26.8
James Harden,SG,33,PHI,4,9.0,.486,.568,26.8
Pascal Siakam,PF,28,TOR,4,9.8,.476,.506,26.5
Trae Young,PG,24,ATL,3,7.7,.324,.373,25.3
Christian Wood,PF,27,DAL,2,7.5,.556,.648,25
Anthony Davis,PF,29,LAL,3,9.3,.509,.527,24.7
Jaylen Brown,SF,26,BOS,4,9.5,.469,.525,24
Jalen Green,SG,20,HOU,4,8.8,.461,.546,24
Tyrese Haliburton,PG,22,IND,4,8.3,.524,.603,24
Paul George,SF,32,LAC,3,8.0,.444,.509,23.7
Terry Rozier,PG,28,CHO,2,8.5,.395,.465,23.5
CJ McCollum,SG,31,NOP,3,9.3,.483,.543,23.3
Bradley Beal,SG,29,WAS,3,9.7,.617,.649,23
Jimmy Butler,SF,33,MIA,4,7.3,.492,.517,23
Paolo Banchero,SF,20,ORL,4,7.3,.426,.449,22.8
Bennedict Mathurin,SG,20,IND,4,7.8,.484,.578,22.3
Andrew Wiggins,SF,27,GSW,3,8.7,.520,.600,22.3
Brandon Ingram,SF,25,NOP,3,7.3,.579,.632,22
Zion Williamson,PF,22,NOP,3,9.3,.491,.491,22
Lauri Markkanen,PF,25,UTA,4,8.0,.451,.500,21.5
Julius Randle,PF,28,NYK,3,8.0,.511,.574,21.3
Tyler Herro,SG,23,MIA,4,7.5,.484,.556,21
Zach LaVine,SG,27,CHI,2,7.0,.438,.516,21
Kevin Porter Jr.,SG,22,HOU,4,7.0,.406,.478,20.8
Desmond Bane,SG,24,MEM,4,6.8,.386,.500,20.5
Keldon Johnson,SF,23,SAS,4,7.8,.449,.529,20.5
Nikola Jokić,C,27,DEN,4,7.0,.636,.670,20.3
Karl-Anthony Towns,C,27,MIN,4,6.3,.410,.467,20.3
Anthony Edwards,SG,21,MIN,4,8.0,.432,.486,20
Anfernee Simons,SG,23,POR,4,7.5,.411,.493,19.8
Devin Vassell,SG,22,SAS,4,6.8,.409,.508,19.8
Kyle Kuzma,PF,27,WAS,3,6.7,.465,.558,19.7
Dejounte Murray,PG,26,ATL,3,7.7,.460,.510,19.7
Bojan Bogdanović,SF,33,DET,3,6.7,.488,.622,19.3
Gordon Hayward,SF,32,CHO,3,7.3,.550,.588,19.3
Deandre Ayton,C,24,PHO,3,8.7,.591,.602,19
John Collins,PF,25,ATL,3,7.0,.553,.618,19
Jordan Clarkson,SG,30,UTA,4,6.8,.458,.568,18.5
D'Angelo Russell,PG,26,MIN,4,6.3,.463,.537,18.5
Gary Trent Jr.,SG,24,TOR,4,6.3,.385,.500,18.5
Cade Cunningham,PG,21,DET,3,6.7,.392,.461,18.3
Nikola Vučević,C,32,CHI,4,6.0,.414,.457,18.3
Saddiq Bey,SF,23,DET,3,5.3,.444,.528,18
Michael Porter Jr.,SF,24,DEN,4,6.5,.510,.667,18
Cole Anthony,PG,22,ORL,3,6.7,.465,.535,17.7
Jalen Brunson,PG,26,NYK,3,7.0,.467,.522,17.7
Jaden Ivey,SG,20,DET,3,6.7,.500,.563,17.7
Keegan Murray,SF,22,SAC,2,6.5,.542,.688,17.5
Aaron Gordon,PF,27,DEN,4,7.5,.556,.565,17.3
