Player,Pos,Age,G,FG,FG%,eFG%,PTS
Shai Gilgeous-Alexander,PG,26,76,11.3,0.519,0.569,32.7
Giannis Antetokounmpo,PF,30,67,11.8,0.601,0.607,30.4
Nikola Jokić,C,29,70,11.2,0.576,0.627,29.6
Luka Dončić,PG,25,50,9.2,0.45,0.536,28.2
Luka Dončić,PG,25,28,8.8,0.438,0.53,28.2
Luka Dončić,PG,25,22,9.8,0.464,0.544,28.1
Anthony Edwards,SG,23,79,9.1,0.447,0.547,27.6
Jayson Tatum,PF,26,72,9.2,0.452,0.537,26.8
Kevin Durant,PF,36,62,9.5,0.527,0.598,26.6
Tyrese Maxey,PG,24,52,9.2,0.437,0.511,26.3
Cade Cunningham,PG,23,70,9.8,0.469,0.521,26.1
Jalen Brunson,PG,28,65,9,0.488,0.551,26
Paolo Banchero,PF,22,46,9,0.452,0.5,25.9
Anthony Davis,C,31,42,9.5,0.528,0.546,25.7
Devin Booker,SG,28,75,8.7,0.461,0.525,25.6
LaMelo Ball,PG,23,47,8.6,0.405,0.494,25.2
De'Aaron Fox,PG,27,45,9.2,0.469,0.521,25
Damian Lillard,PG,34,58,7.7,0.448,0.547,24.9
Anthony Davis,C,31,51,9.2,0.516,0.536,24.7
Kyrie Irving,SG,32,50,8.9,0.473,0.549,24.7
Zion Williamson,PF,24,30,9.6,0.567,0.57,24.6
Stephen Curry,PG,36,70,8.1,0.448,0.572,24.5
LeBron James,SF,40,70,9.3,0.513,0.571,24.4
Karl-Anthony Towns,C,29,72,8.9,0.526,0.584,24.4
Victor Wembanyama,C,21,46,8.9,0.476,0.559,24.3
Franz Wagner,SF,23,60,9,0.463,0.507,24.2
Trae Young,PG,26,76,7.4,0.411,0.491,24.2
Donovan Mitchell,SG,28,71,8.2,0.443,0.531,24
Cam Thomas,SG,23,25,8,0.438,0.513,24
Zach LaVine,SF,29,42,8.6,0.511,0.607,24
Tyler Herro,SG,25,77,8.5,0.472,0.563,23.9
Joel Embiid,C,30,19,7.4,0.444,0.481,23.8
De'Aaron Fox,PG,27,62,8.7,0.463,0.514,23.5
Zach LaVine,SG,29,74,8.4,0.511,0.609,23.3
Ja Morant,PG,25,50,8.1,0.454,0.504,23.2
James Harden,PG,35,79,6.7,0.41,0.501,22.8
Zach LaVine,SG,29,32,8.2,0.511,0.611,22.4
Jaylen Brown,SF,28,63,8.2,0.463,0.515,22.2
DeMar DeRozan,SF,35,77,8.1,0.477,0.509,22.2
Brandon Ingram,SF,27,18,8.6,0.465,0.53,22.2
Jaren Jackson Jr.,C,25,74,8,0.488,0.548,22.2
Quentin Grimes,SG,24,28,7.7,0.469,0.559,21.9
Norman Powell,SG,31,60,7.6,0.484,0.578,21.8
Jalen Williams,SG,23,69,8.2,0.484,0.537,21.6
Kawhi Leonard,SF,33,37,8.4,0.498,0.56,21.5
Jamal Murray,PG,27,67,7.9,0.474,0.543,21.4
Trey Murphy III,SF,24,53,7.2,0.454,0.548,21.2
RJ Barrett,SF,24,58,7.9,0.468,0.523,21.1
CJ McCollum,PG,33,56,7.9,0.444,0.53,21.1
Jalen Green,SG,22,82,7.4,0.423,0.505,21
Brandon Miller,SF,22,27,7.3,0.403,0.509,21
Darius Garland,PG,25,75,7.4,0.472,0.562,20.6
Jordan Poole,SG,25,68,6.7,0.432,0.544,20.5
Coby White,SG,24,74,6.9,0.453,0.55,20.4
Miles Bridges,PF,26,64,7.3,0.431,0.495,20.3
Austin Reaves,SG,26,73,6.5,0.46,0.556,20.2
Pascal Siakam,PF,30,78,7.9,0.519,0.572,20.2
Anthony Davis,PF,31,9,7.8,0.461,0.484,20
De'Aaron Fox,PG,27,17,7.4,0.446,0.493,19.7
Kristaps Porziņģis,C,29,42,6.6,0.483,0.572,19.5
Scottie Barnes,PF,23,65,7.3,0.446,0.482,19.3
Anfernee Simons,SG,25,70,6.8,0.426,0.521,19.3
Desmond Bane,SG,26,69,7.1,0.484,0.565,19.2
Domantas Sabonis,C,28,70,7.5,0.59,0.627,19.1
Alperen Şengün,C,22,76,7.5,0.496,0.505,19.1
John Collins,PF,27,40,7,0.527,0.583,19
Lauri Markkanen,PF,27,47,6.3,0.423,0.521,19
Andrew Wiggins,SF,29,17,6.8,0.458,0.53,19
De'Andre Hunter,SF,27,37,6.1,0.461,0.56,19
Jalen Johnson,SF,23,36,7.5,0.5,0.541,18.9
Cameron Johnson,PF,28,57,6.2,0.475,0.582,18.8
Julius Randle,PF,30,69,6.6,0.485,0.542,18.7
Tyrese Haliburton,PG,24,73,6.5,0.473,0.582,18.6
Evan Mobley,PF,23,71,7.1,0.557,0.604,18.5
Shaedon Sharpe,SG,21,72,6.9,0.452,0.519,18.5
Nikola Vučević,C,34,73,7.5,0.53,0.592,18.5
Collin Sexton,SG,26,63,6.6,0.48,0.543,18.4
Dennis Schröder,PG,31,23,6.4,0.452,0.542,18.4
Michael Porter Jr.,SF,26,77,6.9,0.504,0.596,18.2
Bam Adebayo,C,27,78,6.9,0.485,0.521,18.1
Andrew Wiggins,SF,29,60,6.3,0.448,0.526,18
OG Anunoby,PF,27,74,6.6,0.476,0.559,18
Jimmy Butler,SF,35,30,5.3,0.476,0.504,17.9
Andrew Wiggins,SF,29,43,6.1,0.444,0.524,17.6
Mikal Bridges,SF,28,82,7.2,0.5,0.57,17.6
Jaden Ivey,SG,22,30,6.3,0.46,0.536,17.6
Jimmy Butler,SF,35,55,5.5,0.504,0.531,17.5
Dejounte Murray,PG,28,31,6.3,0.393,0.445,17.5
Malik Monk,SG,26,65,6.3,0.439,0.513,17.2
Immanuel Quickley,PG,25,33,5.6,0.42,0.517,17.1
Jimmy Butler,PF,35,25,5.7,0.54,0.565,17
De'Andre Hunter,SF,27,64,5.6,0.47,0.573,17
Bradley Beal,SG,31,53,6.5,0.497,0.571,17
Jacob Toppin,SF,24,1,6,0.5,0.708,17
Deni Avdija,SF,24,72,5.6,0.476,0.55,16.9
Keyonte George,PG,21,67,5.4,0.391,0.485,16.8
Ivica Zubac,C,27,80,7.4,0.628,0.628,16.8
Derrick White,SG,30,76,5.6,0.442,0.58,16.4
Malik Beasley,SG,28,82,5.6,0.43,0.579,16.3
