bill_length_mm,bill_depth_mm
41.4,18.6
42.8,18.5
38.9,17.8
41.4,18.5
34.6,21.1
39.2,19.6
39.6,18.1
39.7,17.7
39.1,18.7
40.1,18.9
39.5,17.8
33.1,16.1
40.2,17
37.8,20
41.1,17.6
35.7,16.9
37,16.5
37.8,17.3
38.2,20
37.8,18.3
46.8,16.5
51.3,19.2
46.4,17.8
51,18.8
51.3,18.2
50.9,17.9
46.2,17.5
46.9,16.6
42.5,16.7
40.9,16.6
46.4,18.6
52.2,18.8
46.5,17.9
49.3,19.9
45.7,17.3
49.8,17.3
49,19.5
51.4,19
50.8,19
54.2,20.8
46.5,14.8
46.8,14.3
45.1,14.5
45.2,14.8
48.4,14.4
52.1,17
48.7,15.1
48.8,16.2
49.3,15.7
43.4,14.4
45.7,13.9
44.5,14.7
53.4,15.8
47.6,14.5
45.2,16.4
49.6,16
49.8,16.8
51.3,14.2
46.3,15.8
49.1,14.5
