Skill,2022,2023,2024,2025,2026
Python,0.470588,0.37,0.391724,0.248366,0.308642
SQL,0.279412,0.268571,0.264828,0.163399,0.209877
Excel,0.061765,0.057143,0.030345,0.019608,0
Tableau,0.158824,0.194286,0.195862,0.124183,0.148148
Power BI,0.088235,0.14,0.168276,0.091503,0.098765
Statistics,0.955882,0.902857,0.944828,0.895425,0.962963
Data Visualization,0.441176,0.438571,0.46069,0.372549,0.530864
Machine Learning,0.417647,0.391429,0.42069,0.359477,0.493827
A/B Testing,0.002941,0.01,0.012414,0,0
ETL,0.091176,0.082857,0.104828,0.045752,0.160494
Data Warehousing,0.076471,0.084286,0.064828,0.071895,0.049383
Generative AI,0,0.001429,0.008276,0.019608,0.024691
Large Language Models,0,0.005714,0.008276,0.006536,0.012346
Retrieval-Augmented Generation,0,0,0.001379,0,0
AI Agents,0,0,0,0,0.012346
