Week,Date,Topic
1,8/22/2022,Introduction to Data Viz and BI
1,8/24/2022,Introduction to the R Programming Language
2,8/29/2022,Extracting data from flat files
2,8/31/2022,Extracting web data: scraping data from webpages
3,9/5/2022,No class - Labor Day
3,9/7/2022,Extracting web data: scraping data from webpages (continued)
4,9/12/2022,Extracting web data: apis
4,9/14/2022,Lab 01: Scraping and APIs
5,9/19/2022,Data Transformation: Tidy Data
5,9/21/2022,Data Transformation: Technically Correct and Consistent Data
6,9/26/2022,Automating the Data Validation Process
6,9/28/2022,Data correction and imputation
7,10/3/2022,Exam 01
7,10/5/2022,Fundamentals of Data Visualization
8,10/10/2022,Lab 02: A Guided Tour of Data Visualization in Tableau
8,10/12/2022,Lab 03: A Guided Tour of Data Visualization in Power BI
9,10/17/2022,Lab 04: A Guided Tour of Data Visualization in R and Python
9,10/19/2022,Commonly Used Charts
10,10/24/2022,Temporal Data Visualization
10,10/26/2022,Spatial and Spatiotemporal Data Visualization
11,10/31/2022,High Dimensional Charts
11,11/2/2022,Business Reporting 
12,11/7/2022,Exam 02
12,11/9/2022,Data Mining Overview
13,11/14/2022,Association Rules
13,11/16/2022,Introduction to Clustering
14,11/21/2022,Exam 03 (Remote)
14,11/23/2022,Happy Thanksgiving - No Class
15,11/28/2022,Class time reserved for project work
15,11/30/2022,Class time reserved for project work
16,12/5/2022,Final Exam Schedule
